127.0.0.1 - - [14/Jun/2018:19:22:28 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Jun/2018:19:22:29 +0530] "GET /project2frontend/ HTTP/1.1" 200 3734
0:0:0:0:0:0:0:1 - - [14/Jun/2018:19:22:29 +0530] "GET /project2frontend/js/app.js HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [14/Jun/2018:19:22:29 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [14/Jun/2018:19:22:29 +0530] "GET /project2frontend/services/userservice.js HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [14/Jun/2018:19:22:29 +0530] "GET /project2frontend/controllers/jobcontroller.js HTTP/1.1" 200 2351
0:0:0:0:0:0:0:1 - - [14/Jun/2018:19:22:29 +0530] "GET /project2frontend/controllers/usercontroller.js HTTP/1.1" 200 1739
0:0:0:0:0:0:0:1 - - [14/Jun/2018:19:22:29 +0530] "GET /project2frontend/controllers/blogpostcontroller.js HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [14/Jun/2018:19:22:29 +0530] "GET /project2frontend/services/jobservice.js HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [14/Jun/2018:19:22:29 +0530] "GET /project2frontend/services/blogservice.js HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [14/Jun/2018:19:22:30 +0530] "GET /project2frontend/views/home.html HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [14/Jun/2018:19:22:47 +0530] "GET /project2frontend/ HTTP/1.1" 200 3734
0:0:0:0:0:0:0:1 - - [14/Jun/2018:19:22:48 +0530] "GET /project2frontend/controllers/blogpostcontroller.js HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [14/Jun/2018:19:22:48 +0530] "GET /project2frontend/services/blogservice.js HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [14/Jun/2018:19:22:48 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [14/Jun/2018:19:22:48 +0530] "GET /project2frontend/js/app.js HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [14/Jun/2018:19:22:48 +0530] "GET /project2frontend/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:19:22:48 +0530] "GET /project2frontend/services/userservice.js HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [14/Jun/2018:19:22:48 +0530] "GET /project2frontend/controllers/jobcontroller.js HTTP/1.1" 200 2351
