127.0.0.1 - - [01/Jun/2018:13:00:48 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Jun/2018:13:00:49 +0530] "GET /project2frontend/index.html HTTP/1.1" 200 2066
0:0:0:0:0:0:0:1 - - [01/Jun/2018:13:00:49 +0530] "GET /project2frontend/resources/css/fileinput.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [01/Jun/2018:13:00:49 +0530] "GET /project2frontend/resources/css/login.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Jun/2018:13:00:49 +0530] "GET /project2frontend/resources/css/fileinput.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Jun/2018:13:00:49 +0530] "GET /project2frontend/js/fileinput.min.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [01/Jun/2018:13:00:49 +0530] "GET /project2frontend/resourecs/images/%3C/a%3E%3C/div%3E%3Cdiv%20class= HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [01/Jun/2018:13:00:49 +0530] "GET /project2frontend/js/app.js HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [01/Jun/2018:13:00:49 +0530] "GET /project2frontend/controllers/usercontroller.js HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [01/Jun/2018:13:00:49 +0530] "GET /project2frontend/services/userservice.js HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [01/Jun/2018:13:00:50 +0530] "GET /project2frontend/views/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:11:34 +0530] "GET /project2frontend/index.html HTTP/1.1" 200 2066
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:11:34 +0530] "GET /project2frontend/resources/css/login.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:11:34 +0530] "GET /project2frontend/resources/css/fileinput.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:11:34 +0530] "GET /project2frontend/resources/css/fileinput.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:11:34 +0530] "GET /project2frontend/js/fileinput.min.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:11:34 +0530] "GET /project2frontend/js/app.js HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:11:34 +0530] "GET /project2frontend/controllers/usercontroller.js HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:11:34 +0530] "GET /project2frontend/services/userservice.js HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:11:35 +0530] "GET /project2frontend/resources/css/fileinput.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:11:35 +0530] "GET /project2frontend/resources/css/fileinput.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:11:35 +0530] "GET /project2frontend/js/fileinput.min.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:11:35 +0530] "GET /project2frontend/resources/css/login.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:11:35 +0530] "GET /project2frontend/views/home.html HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:11:35 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:11:39 +0530] "GET /project2frontend/views/login.html HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:11:50 +0530] "GET /project2frontend/resources/css/login.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:11:50 +0530] "GET /project2frontend/js/fileinput.min.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:11:50 +0530] "GET /project2frontend/resources/css/fileinput.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:11:50 +0530] "GET /project2frontend/resources/css/fileinput.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:12:06 +0530] "GET /project2frontend/views/registrationform.html HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:12:32 +0530] "POST /project2middleware/register HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:12:49 +0530] "POST /project2middleware/login HTTP/1.1" 500 6416
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:31:30 +0530] "POST /project2middleware/login HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:31:43 +0530] "GET /project2frontend/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:31:43 +0530] "GET /project2frontend/resources/css/login.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:31:43 +0530] "GET /project2frontend/resources/css/fileinput.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:31:43 +0530] "GET /project2frontend/js/fileinput.min.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:31:43 +0530] "GET /project2frontend/resources/css/fileinput.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:31:43 +0530] "GET /project2frontend/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:31:43 +0530] "GET /project2frontend/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:31:43 +0530] "GET /project2frontend/services/userservice.js HTTP/1.1" 304 -
