127.0.0.1 - - [15/Jun/2018:18:18:25 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:26 +0530] "GET /project2frontend/ HTTP/1.1" 200 3820
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:26 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:27 +0530] "GET /project2frontend/js/app.js HTTP/1.1" 200 2091
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:27 +0530] "GET /project2frontend/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:27 +0530] "GET /project2frontend/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:27 +0530] "GET /project2frontend/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:27 +0530] "GET /project2frontend/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:27 +0530] "GET /project2frontend/services/blogservice.js HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:27 +0530] "GET /project2frontend/controllers/blogindetailcontroller.js HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:27 +0530] "GET /project2frontend/controllers/blogpostcontroller.js HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:51 +0530] "GET /project2frontend/ HTTP/1.1" 200 3820
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:51 +0530] "GET /project2frontend/services/userservice.js HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:51 +0530] "GET /project2frontend/controllers/blogpostcontroller.js HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:51 +0530] "GET /project2frontend/services/jobservice.js HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:51 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:51 +0530] "GET /project2frontend/controllers/blogindetailcontroller.js HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:51 +0530] "GET /project2frontend/services/blogservice.js HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:51 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:52 +0530] "GET /project2frontend/js/app.js HTTP/1.1" 200 2091
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:52 +0530] "GET /project2frontend/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:52 +0530] "GET /project2frontend/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:52 +0530] "GET /project2frontend/views/home.html HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:52 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:18:52 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:19:00 +0530] "GET /project2frontend/views/login.html HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:19:17 +0530] "POST /project2middleware/login HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:19:26 +0530] "GET /project2frontend/views/blogform.html HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:22:42 +0530] "PUT /project2middleware/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:22:49 +0530] "POST /project2middleware/login HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:24:10 +0530] "GET /project2frontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:24:11 +0530] "GET /project2frontend/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:24:11 +0530] "GET /project2frontend/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:24:11 +0530] "GET /project2frontend/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:24:11 +0530] "GET /project2frontend/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:24:11 +0530] "GET /project2frontend/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:24:11 +0530] "GET /project2frontend/services/blogservice.js HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:24:11 +0530] "GET /project2frontend/controllers/blogindetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:24:11 +0530] "GET /project2frontend/controllers/blogpostcontroller.js HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:24:11 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:24:11 +0530] "GET /project2frontend/views/blogform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:24:11 +0530] "GET /project2middleware/blogsapproved HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:25:04 +0530] "PUT /project2middleware/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:25:17 +0530] "POST /project2middleware/login HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:25:17 +0530] "GET /project2frontend/views/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:18:25:31 +0530] "GET /project2middleware/blogsapproved HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:35:50 +0530] "GET /project2frontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:35:50 +0530] "GET /project2frontend/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:35:50 +0530] "GET /project2frontend/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:35:50 +0530] "GET /project2frontend/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:35:50 +0530] "GET /project2frontend/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:35:50 +0530] "GET /project2frontend/controllers/blogpostcontroller.js HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:35:50 +0530] "GET /project2frontend/services/blogservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:35:50 +0530] "GET /project2frontend/controllers/blogindetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:35:50 +0530] "GET /project2frontend/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:35:51 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:35:51 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:35:51 +0530] "GET /project2frontend/views/blogform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:35:51 +0530] "GET /project2middleware/blogsapproved HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:35:51 +0530] "GET /project2middleware/blogsapproved HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:38:13 +0530] "GET /project2frontend/views/blogapprovalform.html HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:38:13 +0530] "GET /project2middleware/getblogpost/4 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:46:50 +0530] "GET /project2frontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:46:51 +0530] "GET /project2frontend/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:46:51 +0530] "GET /project2frontend/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:46:51 +0530] "GET /project2frontend/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:46:51 +0530] "GET /project2frontend/services/blogservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:46:51 +0530] "GET /project2frontend/controllers/blogindetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:46:51 +0530] "GET /project2frontend/controllers/blogpostcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:46:51 +0530] "GET /project2frontend/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:46:51 +0530] "GET /project2frontend/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:46:52 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:46:52 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:46:52 +0530] "GET /project2frontend/views/blogapprovalform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:46:53 +0530] "GET /project2middleware/getblogpost/4 HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:54:20 +0530] "GET /project2frontend/ HTTP/1.1" 200 3998
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:54:20 +0530] "GET /project2frontend/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:54:20 +0530] "GET /project2frontend/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:54:20 +0530] "GET /project2frontend/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:54:20 +0530] "GET /project2frontend/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:54:20 +0530] "GET /project2frontend/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:54:20 +0530] "GET /project2frontend/services/blogservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:54:20 +0530] "GET /project2frontend/controllers/blogpostcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:54:20 +0530] "GET /project2frontend/controllers/blogindetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:54:26 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:54:26 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:54:27 +0530] "GET /project2frontend/views/blogapprovalform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:54:27 +0530] "GET /project2middleware/getblogpost/4 HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:54:35 +0530] "GET /project2frontend/views/blogswaitingforapproval.html HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:54:35 +0530] "GET /project2middleware/blogsapproved HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [15/Jun/2018:19:54:35 +0530] "GET /project2middleware/blogsapproved HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [15/Jun/2018:20:02:37 +0530] "GET /project2frontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:20:02:37 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [15/Jun/2018:20:02:37 +0530] "GET /project2frontend/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:20:02:37 +0530] "GET /project2frontend/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:20:02:37 +0530] "GET /project2frontend/controllers/blogpostcontroller.js HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [15/Jun/2018:20:02:37 +0530] "GET /project2frontend/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:20:02:37 +0530] "GET /project2frontend/controllers/blogindetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:20:02:37 +0530] "GET /project2frontend/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:20:02:37 +0530] "GET /project2frontend/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:20:02:37 +0530] "GET /project2frontend/services/blogservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:20:02:39 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [15/Jun/2018:20:02:39 +0530] "GET /project2frontend/views/blogswaitingforapproval.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:20:02:39 +0530] "GET /project2middleware/blogsapproved HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [15/Jun/2018:20:02:39 +0530] "GET /project2middleware/blogsapproved HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [15/Jun/2018:20:07:11 +0530] "GET /project2frontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:20:07:11 +0530] "GET /project2frontend/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:20:07:11 +0530] "GET /project2frontend/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:20:07:11 +0530] "GET /project2frontend/controllers/jobcontroller.js HTTP/1.1" 304 -
