127.0.0.1 - - [19/Jun/2018:22:27:51 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:27:52 +0530] "GET /project2frontend/ HTTP/1.1" 200 4068
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:27:52 +0530] "GET /resources/css/color.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:27:52 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:27:53 +0530] "GET /project2frontend/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:27:53 +0530] "GET /project2frontend/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:27:53 +0530] "GET /project2frontend/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:27:53 +0530] "GET /project2frontend/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:27:53 +0530] "GET /project2frontend/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:27:53 +0530] "GET /project2frontend/services/blogservice.js HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:27:53 +0530] "GET /project2frontend/controllers/blogpostcontroller.js HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:27:53 +0530] "GET /project2frontend/controllers/blogindetailcontroller.js HTTP/1.1" 200 1897
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:09 +0530] "GET /project2frontend/ HTTP/1.1" 200 4068
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:09 +0530] "GET /resources/css/color.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:09 +0530] "GET /project2frontend/services/userservice.js HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:09 +0530] "GET /project2frontend/services/jobservice.js HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:09 +0530] "GET /project2frontend/services/blogservice.js HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:09 +0530] "GET /project2frontend/controllers/blogindetailcontroller.js HTTP/1.1" 200 1897
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:09 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:09 +0530] "GET /resources/css/color.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:09 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:09 +0530] "GET /project2frontend/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:09 +0530] "GET /project2frontend/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:09 +0530] "GET /project2frontend/controllers/blogpostcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:09 +0530] "GET /project2frontend/views/home.html HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:09 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:09 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:11 +0530] "GET /project2frontend/views/login.html HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:31 +0530] "POST /project2middleware/login HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:35 +0530] "GET /project2frontend/views/blogsapproved.html HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:35 +0530] "GET /project2middleware/blogswaitingforapproval HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:35 +0530] "GET /project2middleware/blogsapproved HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:38 +0530] "GET /project2frontend/views/blogindetail.html HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:38 +0530] "GET /project2middleware/getblogpost/6 HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:39 +0530] "GET /project2middleware/hasuserlikedblog/6 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Jun/2018:22:28:42 +0530] "PUT /project2middleware/updateblogpostlikes/6 HTTP/1.1" 200 -
